DISTRICT_NAME	SCHOOL_NAME_LONG	SCHOOL_NAME_SHORT	PHONE_NUMBER	PHYSICAL_ADDRESS	PHYSICAL_CITY	PHYSICAL_STATE	PHYSICAL_ZIP	MAILING_ADDRESS1	MAILING_ADDRESS2	MAILING_CITY	MAILING_STATE	MAILING_ZIP	PRINCIPAL_LAST	PRINCIPAL_FIRST	LATITUDE	LONGITUDE	WEB_ADDRESS	EMAIL_ADDRESS_PRI
ALACHUA     	HOWARD W. BISHOP MIDDLE SCHOOL                                                                      	HOWARD W. BISHOP MIDDLE SCHOOL               	3529556701	1901 NE 9TH ST                                                                  	GAINESVILLE         	FL	32609-3736	1901 NE 9TH ST                          	                                        	GAINESVILLE         	FL	32609-3736	GAMBLE                        	MIKE                	29.6691	-82.3143	http://www.sbac.edu/pages/ACPS                                                                      	bms@gm.sbac.edu                                                                 
ALACHUA     	WESTWOOD MIDDLE SCHOOL                                                                              	WESTWOOD MIDDLE SCHOOL                       	3529556718	3215 NW 15TH AVE                                                                	GAINESVILLE         	FL	32605-5053	3215 NW 15TH AVE                        	                                        	GAINESVILLE         	FL	32605-5053	TENBIEG                       	JAMES               	29.6649	-82.3706	http://www.sbac.edu/pages/ACPS                                                                      	tenbiejj@gm.sbac.edu                                                            
ALACHUA     	GAINESVILLE HIGH SCHOOL                                                                             	GAINESVILLE HIGH SCHOOL                      	3529556707	1900 NW 13TH ST                                                                 	GAINESVILLE         	FL	32609-3411	1900 NW 13TH ST                         	                                        	GAINESVILLE         	FL	32609-3411	SHELNUTT                      	DAVID               	29.6693	-82.3404	http://www.sbac.edu/pages/ACPS                                                                      	ghs@gm.sbac.edu                                                                 
ALACHUA     	FLORIDA ONLINE HIGH SCHOOL                                                                          	FLORIDA ONLINE HIGH SCHOOL                   	3529557050	                                                                                	GAINESVILLE         	FL	32601-5498	620 E UNIVERSITY AVENUE                 	                                        	GAINESVILLE         	FL	32601-5498	YOUNG                         	JULIE               	0	0	                                                                                                    	                                                                                
ALACHUA     	ALACHUA ELEMENTARY SCHOOL                                                                           	ALACHUA ELEMENTARY SCHOOL                    	3864621841	13800 NW 152ND PL                                                               	ALACHUA             	FL	32615-4433	13800 NW 152ND PL                       	                                        	ALACHUA             	FL	32615-4433	COPELAND                      	EVA                 	29.7948	-82.4929	http://www.sbac.edu/pages/ACPS                                                                      	alachua@gm.sbac.edu                                                             
ALACHUA     	ARCHER ELEMENTARY                                                                                   	ARCHER ELEMENTARY                            	3524952111	14533 SW 170TH ST                                                               	ARCHER              	FL	32618-4621	14533 SW 170TH ST                       	                                        	ARCHER              	FL	32618-4621	TOMLINSON                     	CORY                	29.5199	-82.5229	http://www.sbac.edu/pages/ACPS                                                                      	archer@gm.sbac.edu                                                              
ALACHUA     	HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        	HAWTHORNE MIDDLE/HIGH SCHOOL                 	3524811900	21403 SE 69TH AVE                                                               	HAWTHORNE           	FL	32640-3944	PO BOX 40                               	                                        	HAWTHORNE           	FL	32640-0040	JACKSON-CARTER                	VEITA               	29.5905	-82.0872	http://www.sbac.edu/pages/ACPS                                                                      	hhs@gm.sbac.edu                                                                 
ALACHUA     	A. L. MEBANE MIDDLE SCHOOL                                                                          	A. L. MEBANE MIDDLE SCHOOL                   	3864621648	16401 NW 140TH ST                                                               	ALACHUA             	FL	32615-4422	16401 NW 140TH ST                       	                                        	ALACHUA             	FL	32615-4422	BESSNER                       	MANDA               	29.8055	-82.4934	http://www.sbac.edu/pages/ACPS                                                                      	bessnemg@gm.sbac.edu                                                            
ALACHUA     	NEWBERRY HIGH SCHOOL                                                                                	NEWBERRY HIGH SCHOOL                         	3524721101	400 SW 258TH ST                                                                 	NEWBERRY            	FL	32669-4112	400 SW 258TH ST                         	                                        	NEWBERRY            	FL	32669-4112	PURVIS                        	KEVIN               	29.6425	-82.6153	http://www.sbac.edu/pages/ACPS                                                                      	purviskl@gm.sbac.edu                                                            
ALACHUA     	SANTA FE HIGH SCHOOL                                                                                	SANTA FE HIGH SCHOOL                         	3864621125	16213 NW US HIGHWAY 441                                                         	ALACHUA             	FL	32615-6399	16213 NW US HIGHWAY 441                 	                                        	ALACHUA             	FL	32615-6399	LECLEAR                       	ELIZABETH           	29.8058	-82.5233	http://www.sbac.edu/pages/ACPS                                                                      	lecleaea@gm.sbac.edu                                                            
ALACHUA     	CHESTER SHELL ELEMENTARY SCHOOL                                                                     	CHESTER SHELL ELEMENTARY SCHL                	3524811901	21633 SE 65TH AVE                                                               	HAWTHORNE           	FL	32640-3518	21633 SE 65TH AVE                       	                                        	HAWTHORNE           	FL	32640-3518	HARTWELL                      	LIBBY               	29.5939	-82.0912	http://www.sbac.edu/pages/ACPS                                                                      	shell@gm.sbac.edu                                                               
ALACHUA     	WALDO COMMUNITY SCHOOL                                                                              	WALDO COMMUNITY SCHOOL                       	3524681451	14450 NE 148TH TER                                                              	WALDO               	FL	32694-4123	PO BOX 190                              	                                        	WALDO               	FL	32694-0190	BURTON                        	HOLLY               	29.7918	-82.1695	http://www.sbac.edu/pages/ACPS                                                                      	burtonha@gm.sbac.edu                                                            
ALACHUA     	MYRA TERWILLIGER ELEMENTARY SCHOOL                                                                  	MYRA TERWILLIGER ELEM. SCHOOL                	3529556717	301 NW 62ND ST                                                                  	GAINESVILLE         	FL	32607-2003	301 NW 62ND ST                          	                                        	GAINESVILLE         	FL	32607-2003	MCNEILL                       	LYNN                	29.6551	-82.4081	http://www.sbac.edu/pages/ACPS                                                                      	mcneillm@gm.sbac.edu                                                            
ALACHUA     	IDYLWILD ELEMENTARY SCHOOL                                                                          	IDYLWILD ELEMENTARY SCHOOL                   	3529556709	4601 SW 20TH TER                                                                	GAINESVILLE         	FL	32608-3919	4601 SW 20TH TER                        	                                        	GAINESVILLE         	FL	32608-3919	FERGUSON                      	DANIEL              	29.6094	-82.3487	http://www.sbac.edu/pages/ACPS                                                                      	idylwild@gm.sbac.edu                                                            
ALACHUA     	GLEN SPRINGS ELEMENTARY SCHOOL                                                                      	GLEN SPRINGS ELEMENTARY SCHOOL               	3529556708	2826 NW 31ST AVE                                                                	GAINESVILLE         	FL	32605-2241	2826 NW 31ST AVE                        	                                        	GAINESVILLE         	FL	32605-2241	DELL                          	NANNETTE            	29.6823	-82.365	http://www.sbac.edu/pages/ACPS                                                                      	dellnt@gm.sbac.edu                                                              
ALACHUA     	MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL                                                          	MARJORIE KINNAN RAWLINGS ELEM                	3529556715	3500 NE 15TH ST                                                                 	GAINESVILLE         	FL	32609-2430	3500 NE 15TH ST                         	                                        	GAINESVILLE         	FL	32609-2430	BURNEY                        	DANIEL              	29.6844	-82.3067	http://www.sbac.edu/pages/ACPS                                                                      	 burneyde@gm.sbac.edu                                                           
ALACHUA     	TRAFFIC SAFETY CENTER                                                                               	TRAFFIC SAFETY CENTER                        	3523732747	3501 NE 12 ST                                                                   	GAINESVILLE         	FL	32609-2424	3501 NE 12TH ST                         	                                        	GAINESVILLE         	FL	32609-2424	RACIOPPI                      	JOE                 	29.6844	-82.3092	http://www.sbac.edu/                                                                                	raciopcj@gm.sbac.edu                                                            
ALACHUA     	CHARACTER COUNTS CENTER                                                                             	CHARACTER COUNTS CENTER                      	3529556840	1108 NW 7TH AVE                                                                 	GAINESVILLE         	FL	32601-4949	1108 NW 7TH AVE                         	                                        	GAINESVILLE         	FL	32601-4949	KELLER                        	SUE                 	29.6844	-82.3067	http://www.sbac.edu/pages/ACPS                                                                      	kellersp@gm.sbac.edu                                                            
ALACHUA     	ADULT EDUCATION PROGRAM                                                                             	ADULT EDUCATION PROGRAM                      	3529557035	620 E UNIVERSITY AVE                                                            	GAINESVILLE         	FL	32601-5448	620 E UNIVERSITY AVE                    	                                        	GAINESVILLE         	FL	32601-5448	WISE                          	CHARLEY             	29.6542	-82.32	http://www.sbac.edu/pages/ACPS                                                                      	wisecj@gm.sbac.edu                                                              
ALACHUA     	PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   	PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH   	3529556839	3000 E UNIVERSITY AVE                                                           	GAINESVILLE         	FL	32641-6033	3000 E UNIVERSITY AVE                   	                                        	GAINESVILLE         	FL	32641-6033	MCELROY                       	WILLIAM             	29.6555	-82.286	http://www.sbac.edu/pages/ACPS                                                                      	mcelroywc@gm.sbac.edu                                                           
ALACHUA     	HORIZON CENTER. ALTERNATIVE SCHOOL                                                                  	HORIZON CTR. ALTERNATIVE SCHL                	3529557250	2802 NE 8TH AVE                                                                 	GAINESVILLE         	FL	32641-4836	2802 NE 8TH AVE                         	                                        	GAINESVILLE         	FL	32641-4836	SPEER                         	JAMES               	29.6597	-82.2885	http://www.sbac.edu/pages/ACPS                                                                      	speerjh@gm.sbac.edu                                                             
ALACHUA     	EASTSIDE HIGH SCHOOL                                                                                	EASTSIDE HIGH SCHOOL                         	3529556704	1201 SE 43RD ST                                                                 	GAINESVILLE         	FL	32641-7661	1201 SE 43RD ST                         	                                        	GAINESVILLE         	FL	32641-7661	CHARBONNET                    	JEFF                	29.6404	-82.269	http://www.sbac.edu/pages/ACPS                                                                      	ehs@gm.sbac.edu                                                                 
ALACHUA     	F. W. BUCHHOLZ HIGH SCHOOL                                                                          	F. W. BUCHHOLZ HIGH SCHOOL                   	3529556702	5510 NW 27TH AVE                                                                	GAINESVILLE         	FL	32606-6405	5510 NW 27TH AVE                        	                                        	GAINESVILLE         	FL	32606-6405	PEREZ                         	VICENTE             	29.6782	-82.4022	http://www.sbac.edu/pages/ACPS                                                                      	bhs@sbac.edu                                                                    
ALACHUA     	PRAIRIE VIEW ELEMENTARY SCHOOL                                                                      	PRAIRIE VIEW ELEMENTARY SCHOOL               	3529556714	                                                                                	GAINESVILLE         	FL	32641-1442	1700 SE 35 AVENUE                       	                                        	GAINESVILLE         	FL	32641-1442	BAILEY                        	SHARON              	0	0	                                                                                                    	                                                                                
ALACHUA     	HIGH SPRINGS COMMUNITY SCHOOL                                                                       	HIGH SPRINGS COMMUNITY SCHOOL                	3864541958	1015 N MAIN ST                                                                  	HIGH SPRINGS        	FL	32643-8904	1015 N MAIN ST                          	                                        	HIGH SPRINGS        	FL	32643-8904	MEANS                         	JEFFREY             	29.8336	-82.5898	http://www.sbac.edu/pages/ACPS                                                                      	meansja@sbac.edu                                                                
ALACHUA     	SPRING HILL MIDDLE SCHOOL                                                                           	SPRING HILL MIDDLE SCHOOL                    	3864542701	                                                                                	HIGH SPRINGS        	FL	32643-8904	1015 N MAIN STREET                      	                                        	HIGH SPRINGS        	FL	32643-8904	BROWNING                      	HOLT                	0	0	                                                                                                    	                                                                                
ALACHUA     	HIGH SPRINGS ELEMENTARY SCHOOL                                                                      	HIGH SPRINGS ELEMENTARY SCHOOL               	3864541958	                                                                                	HIGH SPRINGS        	FL	32643-8904	1015 N MAIN STREET                      	                                        	HIGH SPRINGS        	FL	32643-8904	MEANS                         	JEFFREY             	0	0	                                                                                                    	                                                                                
ALACHUA     	FORT CLARKE MIDDLE SCHOOL                                                                           	FORT CLARKE MIDDLE SCHOOL                    	3523332800	9301 NW 23RD AVE                                                                	GAINESVILLE         	FL	32606-5115	9301 NW 23RD AVE                        	                                        	GAINESVILLE         	FL	32606-5115	KIDWELL                       	DONNA               	29.6733	-82.4418	http://www.sbac.edu/pages/ACPS                                                                      	fcms@gm.sbac.edu                                                                
ALACHUA     	HIDDEN OAK ELEMENTARY SCHOOL                                                                        	HIDDEN OAK ELEMENTARY SCHOOL                 	3523332801	2100 FORT CLARKE BLVD                                                           	GAINESVILLE         	FL	32606-7107	2100 FORT CLARKE BLVD                   	                                        	GAINESVILLE         	FL	32606-7107	KNOWLES                       	RON                 	29.6726	-82.439	http://www.sbac.edu/pages/ACPS                                                                      	hidnoak@gm.sbac.edu                                                             
ALACHUA     	CAMP CRYSTAL LAKE                                                                                   	CAMP CRYSTAL LAKE                            	3524751414	6724 CAMP CRYSTAL RD                                                            	STARKE              	FL	32091-8549	6724 CAMP CRYSTAL ROAD                  	                                        	STARKE              	FL	32091-0000	OYENARTE                      	TONY                	29.9606	-82.0709	http://www.sbac.edu/                                                                                	oyenart@sbac.edu                                                                
ALACHUA     	FEARNSIDE FAMILY SERVICES CENTER                                                                    	FEARNSIDE FAMILY SERVICES CENTER             	3529556875	3600 NE 15TH ST                                                                 	GAINESVILLE         	FL	32609-2484	3600 NE 15TH ST                         	                                        	GAINESVILLE         	FL	32609-2484	CROWELL                       	ANN                 	29.6128	-82.4222	http://www.sbac.edu/pages/ACPS                                                                      	famsvcs@gm.sbac.edu                                                             
ALACHUA     	HEAD START/PREK E I CENTER                                                                          	HEAD START/PREK E I CENTER                   	3529556875	3600 NE 15TH ST                                                                 	GAINESVILLE         	FL	32069-2484	3600 NE 15TH STREET                     	                                        	GAINESVILLE         	FL	32069-0000	CROWELL                       	ANN                 	29.6859	-82.3072	                                                                                                    	                                                                                
ALACHUA     	PRAIRIE VIEW ACADEMY                                                                                	PRAIRIE VIEW ACADEMY                         	3529556714	1700 SE 35TH AVE                                                                	GAINESVILLE         	FL	32641-1481	1700 SE 35TH AVE                        	                                        	GAINESVILLE         	FL	32641-1481	CROWELL                       	ANN                 	29.6357	-82.2814	                                                                                                    	crowelma@gm.sbac.edu                                                            
ALACHUA     	KIMBALL WILES ELEMENTARY SCHOOL                                                                     	KIMBALL WILES ELEM. SCHOOL                   	3529556955	4601 SW 75TH ST                                                                 	GAINESVILLE         	FL	32608-4204	4601 SW 75TH ST                         	                                        	GAINESVILLE         	FL	32608-4204	BUYS                          	BARBARA             	29.612	-82.422	http://www.sbac.edu/pages/ACPS                                                                      	buysbn@gm.sbac.edu                                                              
ALACHUA     	KANAPAHA MIDDLE SCHOOL                                                                              	KANAPAHA MIDDLE SCHOOL                       	3529556960	5005 SW 75TH ST                                                                 	GAINESVILLE         	FL	32608-4430	5005 SW 75TH ST                         	                                        	GAINESVILLE         	FL	32608-4430	WISE                          	JENNIFER            	29.6071	-82.4209	http://www.sbac.edu/pages/ACPS                                                                      	wisejl@gm.sbac.edu                                                              
ALACHUA     	WILES HEAD START                                                                                    	WILES HEAD START                             	3529557010	4556 SW 75TH ST                                                                 	GAINESVILLE         	FL	32608-4203	4556 SW 75TH ST                         	                                        	GAINESVILLE         	FL	32608-4203	CROWELL                       	ANN                 	29.6128	-82.4222	                                                                                                    	                                                                                
ALACHUA     	LAWTON M. CHILES ELEMENTARY SCHOOL                                                                  	LAWTON M. CHILES ELEM. SCHOOL                	3523332825	2525 SCHOOL HOUSE RD                                                            	GAINESVILLE         	FL	32608-8645	2525 SCHOOL HOUSE RD                    	                                        	GAINESVILLE         	FL	32608-8645	BLACK                         	JUDITH              	29.6115	-82.4392	http://www.sbac.edu/pages/ACPS                                                                      	blackjm@gm.sbac.edu                                                             
ALACHUA     	MEADOWBROOK ELEMENTARY SCHOOL                                                                       	MEADOWBROOK ELEMENTARY SCHOOL                	3523332828	11525 NW 39TH AVE                                                               	GAINESVILLE         	FL	32606-4906	11525 NW 39TH AVE                       	                                        	GAINESVILLE         	FL	32606-4906	BURKLEW                       	BRAD                	29.6878	-82.462	http://www.sbac.edu/pages/ACPS                                                                      	burklewb@gm.sbac.edu                                                            
ALACHUA     	NEWBERRY ELEMENTARY SCHOOL                                                                          	NEWBERRY ELEMENTARY SCHOOL                   	3524721100	25705 SW 15TH AVE                                                               	NEWBERRY            	FL	32669-2554	25705 SW 15TH AVE                       	                                        	NEWBERRY            	FL	32669-2554	REDD                          	LACY                	29.6397	-82.6075	http://www.sbac.edu/pages/ACPS                                                                      	reddla@gm.sbac.edu                                                              
ALACHUA     	C. W. NORTON ELEMENTARY SCHOOL                                                                      	C. W. NORTON ELEMENTARY SCHOOL               	3529556765	2200 NW 45TH AVE                                                                	GAINESVILLE         	FL	32605-1331	2200 NW 45TH AVE                        	                                        	GAINESVILLE         	FL	32605-1331	NEAL                          	KIM                 	29.6964	-82.3545	http://www.sbac.edu/pages/ACPS                                                                      	norton@gm.sbac.edu                                                              
ALACHUA     	WILLIAM S. TALBOT ELEM SCHOOL                                                                       	WILLIAM S. TALBOT ELEM SCHOOL                	3529556716	5701 NW 43RD ST                                                                 	GAINESVILLE         	FL	32653-3331	5701 NW 43RD ST                         	                                        	GAINESVILLE         	FL	32653-3331	BURKLEW                       	LINA                	29.708	-82.3874	http://www.sbac.edu/pages/ACPS                                                                      	talbot@gm.sbac.edu                                                              
ALACHUA     	W. W. IRBY ELEMENTARY SCHOOL                                                                        	W. W. IRBY ELEMENTARY SCHOOL                 	3864625002	13505 NW 140TH ST                                                               	ALACHUA             	FL	32615-6110	13505 NW 140TH ST                       	                                        	ALACHUA             	FL	32615-6110	FORTNER                       	VALDENORA           	29.7794	-82.4933	http://www.sbac.edu/pages/ACPS                                                                      	irby@gm.sbac.edu                                                                
ALACHUA     	OAK VIEW MIDDLE SCHOOL                                                                              	OAK VIEW MIDDLE SCHOOL                       	3524721102	1203 SW 250TH ST                                                                	NEWBERRY            	FL	32669-5238	1203 SW 250TH ST                        	                                        	NEWBERRY            	FL	32669-5238	MUNN                          	KATHERINE           	29.641	-82.6056	http://www.sbac.edu/pages/ACPS                                                                      	munnkl@gm.sbac.edu                                                              
ALACHUA     	ALACHUA ACADEMY                                                                                     	ALACHUA ACADEMY                              	3529557634	3436 NE 39TH AVE STE 3                                                          	GAINESVILLE         	FL	32609-2638	3436 NE 39TH AVE                        	                                        	GAINESVILLE         	FL	32609-2638	SPEER                         	JAMES               	29.6799	-82.287	http://www.sbac.edu/pages/ACPS                                                                      	speerjh@gm.sbac.edu                                                             
ALACHUA     	AMIKIDS                                                                                             	AMIKIDS                                      	3524660543	6815 SW ARCHER RD                                                               	GAINESVILLE         	FL	32608-4720	6815 SW ARCHER RD                       	                                        	GAINESVILLE         	FL	32608-4720	SLAYTON                       	DANIEL              	29.60144	-82.41627	http://www.sbac.edu/pages/ACPS                                                                      	                                                                                
ALACHUA     	PACE                                                                                                	PACE                                         	3523748799	1010 SE 4TH AVE                                                                 	GAINESVILLE         	FL	32601-6907	1010 SE 4TH AVE                         	                                        	GAINESVILLE         	FL	32601-6907	SOUTHWICK                     	KATIE               	29.6486	-82.3129	http://www.pacecenter.org/                                                                          	                                                                                
ALACHUA     	THRESHOLD DAY TREATMENT                                                                             	THRESHOLD DAY TREATMENT                      	3529557634	3615 SW 13TH STREET                                                             	GAINESVILLE         	FL	32608-0000	3615 SW 13TH STREET                     	                                        	GAINESVILLE         	FL	32608-0000	LEWIS                         	DON                 	0	0	                                                                                                    	                                                                                
ALACHUA     	ALACHUA COUNTY JAIL                                                                                 	ALACHUA COUNTY JAIL                          	3529552160	3333 NE 39TH AVE                                                                	GAINESVILLE         	FL	32609-2639	3333 NE 39TH AVE                        	                                        	GAINESVILLE         	FL	32609-2639	BLACK                         	KATHY               	29.6848	-82.2902	http://www.sbac.edu/pages/ACPS                                                                      	blackkv@gm.sbac.edu                                                             
ALACHUA     	THE ONE ROOM SCHOOL HOUSE PROJECT                                                                   	THE ONE ROOM SCHOOL HOUSE PROJECT            	3523764014	4180 NE 15TH ST                                                                 	GAINESVILLE         	FL	32609-2011	4180 NE 15TH ST                         	                                        	GAINESVILLE         	FL	32609-2011	BECKETT                       	BRETT               	29.6916	-82.305	                                                                                                    	                                                                                
ALACHUA     	"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              "	"MICANOPY AREA COOPERATIVE SCHOOL, INC.       "	3524660990	802 NW SEMINARY AVE                                                             	MICANOPY            	FL	32667-8500	802 NW SEMINARY AVE                     	                                        	MICANOPY            	FL	32667-8500	MAYNARD                       	BRENDA              	29.5046	-82.2899	                                                                                                    	b.maynard@micanopyareaschool.org                                                
ALACHUA     	CHANCE CHARTER SCHOOLS                                                                              	CHANCE CHARTER SCHOOL                        	3523328777	                                                                                	GAINESVILLE         	FL	32607-2107	5751 NW 7TH AVENUE                      	                                        	GAINESVILLE         	FL	32607-2107	GARRETT                       	JACKIE              	0	0	                                                                                                    	                                                                                
ALACHUA     	CARING & SHARING LEARNING SCHOOL                                                                    	CARING & SHARING LEARNING SCHOOL             	3523721004	1951 SE 4TH ST                                                                  	GAINESVILLE         	FL	32641-8718	1951 SE 4TH ST                          	                                        	GAINESVILLE         	FL	32641-8718	PETERSON                      	CURTIS              	29.6525	-82.2897	http://www.sbac.edu/pages/ACPS                                                                      	petersonc1951@gmail.com                                                         
ALACHUA     	LOVE TO LEARN EDUCATIONAL CENTER                                                                    	LOVE TO LEARN EDUCATIONAL CENTER             	3523811900	125 NW 23RD AVE STE 3                                                           	GAINESVILLE         	FL	32609-3681	125 NW 23RD AVE STE 3                   	                                        	GAINESVILLE         	FL	32609-3681	PALMER                        	LAVETTA             	29.6736	-82.3258	                                                                                                    	                                                                                
ALACHUA     	"THE EINSTEIN SCHOOL, INC.                                                                           "	"THE EINSTEIN SCHOOL, INC.                    "	3523354321	5910 SW ARCHER RD                                                               	GAINESVILLE         	FL	32608-4702	5910 SW ARCHER RD                       	                                        	GAINESVILLE         	FL	32608-4702	AURELIO                       	CHRISTINE           	29.60702	-82.40632	http://www.einsteinmontessori.com/                                                                  	                                                                                
ALACHUA     	EXPRESSIONS LEARNING ARTS ACADEMY                                                                   	EXPRESSIONS LEARNING ARTS ACAD               	3523735223	5408 SW 13TH ST                                                                 	GAINESVILLE         	FL	32608-5038	5408 SW 13TH ST                         	                                        	GAINESVILLE         	FL	32608-5038	VALANTIS                      	CHERYL              	29.6021	-82.3418	http://www.expressionsacademy.org/                                                                  	express@tlc2000.net                                                             
ALACHUA     	"ALACHUA LEARNING CENTER, INC. ELEMENTARY                                                            "	"ALACHUA LEARNING CENTER, INC. ELEMENTARY     "	3864182080	11100 W SR 235                                                                  	ALACHUA             	FL	32615-4965	PO BOX 1389                             	                                        	ALACHUA             	FL	32616-1389	KASEDER                       	JAYA                	29.7565	-82.5282	http://alachualearningcenter.com/                                                                   	jkaseder@gmail.com                                                              
ALACHUA     	GENESIS PREPARATORY SCHOOL                                                                          	GENESIS PREPARATORY SCHOOL                   	3523791188	207 NW 23RD AVE                                                                 	GAINESVILLE         	FL	32609-3604	207 NW 23RD AVE                         	                                        	GAINESVILLE         	FL	32609-3604	HENRY                         	CHARMAINE           	29.6735	-82.3275	                                                                                                    	                                                                                
