"","Farm.Mailing.Address.","lat","lon","location_type","forAddress"
"32","15105 NW 94 Ave Alachua,32615 Florida","29.736257","-82.505677","ROOFTOP","15105 Northwest 94th Avenue, Alachua, FL 32615, USA"
"33","PO Box 1086 Starke,32091 Florida","29.9441298","-82.1098275","APPROXIMATE","Starke, FL 32091, USA"
"34","19856 County Road 121. Hilliard,32046  Florida","30.5441356","-81.9877247","ROOFTOP","19856 County Road 121, Hilliard, FL 32046, USA"
"35","21173 NW 43rd Ave Lawtey,32058 Florida","30.024427","-82.116354","ROOFTOP","21173 Northwest 43rd Avenue, Lawtey, FL 32058, USA"
"36","6411 NE 217th Pl, Citra,32113 Florida","29.465929","-82.053247","ROOFTOP","6411 Northeast 217th Place, Citra, FL 32113, USA"
"37","High Springs,32643 Florida",NA,NA,NA,NA
"38","6480 SW 122nd St Gainesville,32608 Florida","29.598017","-82.477304","ROOFTOP","6480 Southwest 122nd Street, Gainesville, FL 32608, USA"
"39","7780-5 Westside Industrial Dr Jacksonville, FL Florida","30.372529","-81.779927","ROOFTOP","7780 Westside Industrial Drive, Jacksonville, FL 32219, USA"
"40","5109 E Hwy 316 Citra, Florida","29.367733","-82.062168","ROOFTOP","5109 East Highway 316, Citra, FL 32113, USA"
"41","1099 NE Rocky Ford Road Madison,32340 Florida","30.486428","-83.400925","ROOFTOP","1099 Northeast Rocky Ford Road, Madison, FL 32340, USA"
"42","Rural Rt 1 Box 213 O' Brien,32071 Florida","30.0382527","-82.9286428","APPROXIMATE","O'Brien, FL 32071, USA"
"43","13343 Garrison Rd Live Oak,32060 Florida","30.335573","-83.02282","ROOFTOP","13343 Garrison Road, Live Oak, FL 32060, USA"
"44","6395 SW 63rd Street Lake Butler,32054 Florida","29.970278","-82.515303","ROOFTOP","6395 Southwest 63rd Street, Lake Butler, FL 32054, USA"
"45","11741 CR 236 Alachua,32615 Florida","29.874784","-82.470247","ROOFTOP","11741 Northwest County Road 236, Alachua, FL 32615, USA"
"46","4169 County Road 15a Green Cove Springs,32043 Florida","29.9736442","-81.693036","ROOFTOP","4169 County Road 15A, Green Cove Springs, FL 32043, USA"
"47","682 Ne Ridge Loop Madison,32340 Florida","30.580315","-83.404024","ROOFTOP","682 Ridge Road, Madison, FL 32340, USA"
"48","16750 NW 30th Avenue Trenton,32693 Florida",NA,NA,NA,NA
"49","1103 SE Corinth Church Rd Lee,32059 Florida","30.400198","-83.282351","ROOFTOP","1103 Southeast Corinth Church Road, Lee, FL 32059, USA"
"50","2910 CR 136 White Springs Florida","30.319933","-82.8026806","GEOMETRIC_CENTER","County Road 136, White Springs, FL 32096, USA"
"51","18079 US Highway 301 N Starke, FL Florida","29.979528","-82.099086","ROOFTOP","18079 Us Highway 301 North, Starke, FL 32091, USA"
"52","8760 S. Lecanto Hwy, Lecanto,  34461  Florida","28.7343475","-82.451613","RANGE_INTERPOLATED","8760 South Lecanto Highway, Lecanto, FL 34461, USA"
"53"," 13247 SW 154th St Archer,32618 Florida","29.5322325","-82.5065532","RANGE_INTERPOLATED","13247 Southwest 154th Street, Archer, FL 32618, USA"
"54","3948 3rd S St Jacksonville Baeach,32250 Florida","30.2584405","-81.3908936","ROOFTOP","3948 3rd Street South, Jacksonville Beach, FL 32250, USA"
"55","2911 County Road 219a. Melrose,32666 Florida","29.679335","-82.077391","ROOFTOP","2911 Northeast County Road 219a, Melrose, FL 32666, USA"
"56","Po Box 212 Trenton,32693 Florida","29.6132942","-82.8176203","APPROXIMATE","Trenton, FL 32693, USA"
"57","6700 Bowden Rd Jacksonville, Florida","30.263931","-81.591542","ROOFTOP","6700 Bowden Road, Jacksonville, FL 32216, USA"
"58","8362 se 11th ave Starke,32091 Florida","29.837269","-82.071195","ROOFTOP","8362 Southeast 11th Avenue, Starke, FL 32091, USA"
"59","211 S Temple Ave, Starke, Florida 32091-3936 Florida","29.943094","-82.11198","ROOFTOP","211 South Temple Avenue, Starke, FL 32091, USA"
"60","2420 NE 19th Dr Gainesville, FL Florida","29.675256","-82.300099","ROOFTOP","2420 Northeast 19th Drive, Gainesville, FL 32609, USA"
"61","6963 sw 78th lane Lake Butler,32054 Florida","29.97868","-82.495152","ROOFTOP","6963 Southwest 78th Lane, Lake Butler, FL 32054, USA"
"62","Trenton,32693 Florida","29.6132942","-82.8176203","APPROXIMATE","Trenton, FL 32693, USA"
"63","16851 NW 60th Ave, Trenton,32693  Florida","29.57467","-82.869003","ROOFTOP","16851 Northwest 60th Avenue, Trenton, FL 32693, USA"
"64","3831 NW 156 Ave Gainesville,32609 Florida","29.796631","-82.3865919","ROOFTOP","3831 Northwest 156th Avenue, Gainesville, FL 32609, USA"
"65","4818 NW County Road 143 Jennings,32053 Florida","30.54184","-83.189623","ROOFTOP","4818 Northwest County Road 143, Jennings, FL 32053, USA"
"66","11325 NE US Highway 301 Waldo,32694 Florida","29.759456","-82.139843","ROOFTOP","11325 Northeast Us Highway 301, Waldo, FL 32694, USA"
"67","18391 Avalon Dr. Hilliard,32046 Florida","30.720036","-82.033928","ROOFTOP","18391 Avalon Drive, Hilliard, FL 32046, USA"
"68","2910 CR 136 White Springs Florida","30.319933","-82.8026806","GEOMETRIC_CENTER","County Road 136, White Springs, FL 32096, USA"
"69","6551 NW 100th St, Chiefland,32626 Florida",NA,NA,NA,NA
"70","20131 NW 218th Ave High Springs,32643 Florida","29.853812","-82.559108","ROOFTOP","20131 Northwest 218th Avenue, High Springs, FL 32643, USA"
"71","Lake Butler,32054 Florida","30.0227391","-82.3395574","APPROXIMATE","Lake Butler, FL 32054, USA"
"72","4031 Southwest SR 121 Lake Butler,32054 Florida","30.0047465","-82.3672568","GEOMETRIC_CENTER","Florida 121, Lake Butler, FL 32054, USA"
"73","1105 S Thompkins St Madison,32340 Florida","30.4600682","-83.4085625","RANGE_INTERPOLATED","1105 Southeast Thompkins Avenue, Madison, FL 32340, USA"
"74","4251 NW 160th St, Trenton,32693 Florida","29.565502","-82.8401109","ROOFTOP","4251 Northwest 160th Street, Trenton, FL 32693, USA"
"75","1555 North Kings Hwy., Ft. Pierce, FL Florida","27.463922","-80.401226","ROOFTOP","1555 North Kings Highway, Fort Pierce, FL 34947, USA"
"76","Yee Farms, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"77","40734 U.S. 31 Brewton, AL 36426 Florida","31.1765122","-87.0556317","RANGE_INTERPOLATED","40734 U.S. 31, Brewton, AL 36426, USA"
"78","10948 N. Central Ave Florida","28.0486726","-82.4557574","ROOFTOP","10948 North Central Avenue, Tampa, FL 33612, USA"
"79","8718 N 46th St. Tampa, FL Florida","28.030473","-82.410358","ROOFTOP","8718 North 46th Street, Tampa, FL 33617, USA"
"80","3400 SW 17th Place, Cape Coral, FL Florida",NA,NA,NA,NA
"81","3050 Central Ave. Ft Myers, FL Florida","26.6207889","-81.865069","ROOFTOP","3050 Central Avenue, Fort Myers, FL 33901, USA"
"82","1856 Arts Way, North Fort Myers, Florida","26.708303","-81.881743","ROOFTOP","1856 Arts Way, North Fort Myers, FL 33917, USA"
"83","11900 Stoneybrook Golf Drive, Estero, FL Florida","26.4254067","-81.7735992","RANGE_INTERPOLATED","11900 Stoneybrook Golf Drive, Estero, FL 33928, USA"
"84","1850 SW 20th Ave. Cape Coral, FL Florida","26.618035","-82.015665","ROOFTOP","1850 Southwest 20th Avenue, Cape Coral, FL 33991, USA"
"85","3130 Forelock Road, Tarpon Springs, FL Florida","28.135756","-82.694376","ROOFTOP","3130 Forelock Road, Tarpon Springs, FL 34688, USA"
"86","Gulf Citrus, Florida","30.424219","-86.91815","GEOMETRIC_CENTER","Citrus Drive, Navarre, FL 32566, USA"
"87","Custom Pak, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"88","Oakes Farms, Florida","26.0773104","-80.2152835","GEOMETRIC_CENTER","Oakes Road, Davie, FL 33314, USA"
"89","21400 SW 392nd St. Homestead, FL Florida","25.4037661","-80.5123404","RANGE_INTERPOLATED","21400 Southwest 392nd Street, Homestead, FL 33034, USA"
"90","P.O Box 2554 Plant City, FL Florida","28.0186323","-82.1128641","APPROXIMATE","Plant City, FL, USA"
"91","4135 County Road 760, Arcadia,34266 Florida",NA,NA,NA,NA
"92","100 Stearns St., Plant City,33563 Florida","28.010513","-82.135037","ROOFTOP","100 Stearns Street, Plant City, FL 33563, USA"
"93","4610 Drawdy Rd, Plant City,33567 Florida","27.9509055","-82.1530695","ROOFTOP","4610 Drawdy Road, Plant City, FL 33567, USA"
"94","12405 County Rd. 672, Balm,33503 Florida","27.7592438","-82.2646233","APPROXIMATE","Balm, FL 33503, USA"
"95","1802 Colson Rd., Plant City,33567 Florida","27.945627","-82.092241","ROOFTOP","1802 Colson Road, Plant City, FL 33567, USA"
"96","5216 Centon St., Wimauma,33598 Florida","27.714546","-82.317076","ROOFTOP","5216 Center Street, Wimauma, FL 33598, USA"
"97","8423 State Route 674, Wimauma,33598 Florida","27.704141","-82.24543","ROOFTOP","8423 State Route 674, Wimauma, FL 33598, USA"
"98","2619 14th Ave SE, Ruskin,33570 Florida","27.704795","-82.398764","ROOFTOP","2619 14th Avenue Southeast, Ruskin, FL 33570, USA"
"99","1307 W Dr. Martin Luther King Jr. Blvd, Plant City,33563 Florida","28.0119873","-82.1368506","RANGE_INTERPOLATED","1307 West Doctor Martin Luther King Junior Boulevard, Plant City, FL 33563, USA"
"100","5604 Stafford Rd, Plant City, Florida","28.041284","-82.194038","ROOFTOP","5604 Stafford Road, Plant City, FL 33565, USA"
"101","14820 McGrady Rd., Wimauma,33598 Florida","27.761652","-82.279993","ROOFTOP","14820 McGrady Road, Wimauma, FL 33598, USA"
"102","1822 Amberwynd Cir. Palmetto,34221 Florida",NA,NA,NA,NA
"103","5500 County Rd. 675 Bradenton,34211 Florida","27.445187","-82.30465","ROOFTOP","5500 County Road 675, Bradenton, FL 34211, USA"
"104","8670 Moccasin Wallow Road, Palmetto,34221 Florida","27.604066","-82.479457","ROOFTOP","8670 Moccasin Wallow Road, Palmetto, FL 34221, USA"
"105","13400 Dickey Rd, Parrish,34219 Florida","27.6123703","-82.4027453","RANGE_INTERPOLATED","13400 Dickey Road, Parrish, FL 34219, USA"
"106","P.O. Box 836 Bradenton,34206 Florida","27.4962891","-82.5700537","APPROXIMATE","Bradenton, FL 34206, USA"
"107","12033 U.S. 441, Boynton Beach,33473 Florida","26.5034928","-80.2047209","GEOMETRIC_CENTER","U.S. 441, Boynton Beach, FL 33473, USA"
"108","6000 150th Ave N Clearwater,33760 Florida","27.906747","-82.717042","ROOFTOP","6000 150th Avenue North, Clearwater, FL 33760, USA"
"109","Island River, Florida","29.326316","-81.0649191","GEOMETRIC_CENTER","River Lane, Ormond Beach, FL 32176, USA"
"110","505 Ave. N SE #102, Winter Haven,33880 Florida","28.00885","-81.720152","ROOFTOP","505 Ave North SE #102, Winter Haven, FL 33880, USA"
"111","P.O. Box 658, Lake Hamilton,33851 Florida","28.0442693","-81.6237906","APPROXIMATE","Lake Hamilton, FL 33851, USA"
"112","6000 Polk City Road, Haines City,33844 Florida","28.1584314","-81.6778177","ROOFTOP","6000 Old Polk City Road, Haines City, FL 33844, USA"
"113","Noble Juice, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"114","Dufour Family Farms, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"115","11708 Fruitville Rd., Sarasota,34240 Florida","27.338646","-82.3667127","RANGE_INTERPOLATED","11708 Fruitville Road, Sarasota, FL 34240, USA"
"116","10507 Fruitville Road Sarasota,34240 Florida","27.339164","-82.3682989","ROOFTOP","10507 Fruitville Road, Sarasota, FL 34240, USA"
"117","4180 47th St, Sarasota,34235 Florida","27.373268","-82.485476","ROOFTOP","4180 47th Street, Sarasota, FL 34235, USA"
"118","16015 Winburn Dr,34240 Florida","27.3405181","-82.2551812","RANGE_INTERPOLATED","16015 Winburn Drive, Sarasota, FL 34240, USA"
"119","Passion for Produce, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"120","7410 Fruitville Rd, Sarasota,34240 Florida","27.336399","-82.422713","ROOFTOP","7410 Fruitville Road, Sarasota, FL 34240, USA"
"121","12638 Fruitville Rd. Sarasota,34240 Florida","27.3388592","-82.3340026","RANGE_INTERPOLATED","12638 Fruitville Road, Sarasota, FL 34240, USA"
"122","1200 Duda, Oviedo,32765 Florida",NA,NA,NA,NA
"123","Miller Farms, Florida","28.9213064","-81.3079109","GEOMETRIC_CENTER","Miller Road, FL 32763, USA"
"124","9905 Clint Moore Rd Boca Raton,33496 Florida","26.409851","-80.201663","ROOFTOP","9905 Clint Moore Road, Boca Raton, FL 33496, USA"
"125","710 Byrneville Road  Century,32535 Florida","30.942703","-87.316992","ROOFTOP","710 Byrneville Road, Century, FL 32535, USA"
"126","1525 Fairview Rd, Marianna,32448 Florida","30.67528","-85.307236","ROOFTOP","1525 Fairview Road, Marianna, FL 32448, USA"
"127","90410 Wendt Farm Rd Jay,32565 Florida","30.8424664","-87.20522","GEOMETRIC_CENTER","Farm Road, Jay, FL 32565, USA"
"128","2980 R.M. Ward Road, Ponce De Leon,32455 Florida","30.7034878","-85.8751955","RANGE_INTERPOLATED","2980 R M Ward Road, Ponce de Leon, FL 32455, USA"
"129","1407 North Waukesha Street Bonifay,32425  Florida","30.812841","-85.674693","ROOFTOP","1407 North Waukesha Street, Bonifay, FL 32425, USA"
"130","17353 CR 64 Loxley, AL 36551 Florida","30.623122","-87.726498","ROOFTOP","17353 County Road 64, Loxley, AL 36551, USA"
"131","1959 Freeman Road, Monticello,32344 Florida","30.448368","-83.930307","ROOFTOP","1959 Freeman Road, Monticello, FL 32344, USA"
"132","252 Wakulla Springs Road, Crawfordville,32327 Florida","30.293222","-84.314653","ROOFTOP","252 Wakulla Springs Road, Crawfordville, FL 32327, USA"
"133","3095 Goodman Hill Rd. Chipley, Florida",NA,NA,NA,NA
"134","Qunicy, Florida","30.5871392","-84.5832453","APPROXIMATE","Quincy, FL, USA"
"135","1567 Piney Grove Rd Chipley,32428 Florida","30.720911","-85.594887","ROOFTOP","1567 Piney Grove Road, Chipley, FL 32428, USA"
"136","804 Frank Smith Rd. Quincy,32352 Florida","30.676513","-84.467756","ROOFTOP","804 Frank Smith Road, Quincy, FL 32352, USA"
"137","6065 Clear Creek Road Milton,32570 Florida","30.724959","-87.067703","ROOFTOP","6065 Clear Creek Road, Milton, FL 32570, USA"
"138","1201 S. Highway 99 McDavid,32568 Florida","30.8718513","-87.4641957","ROOFTOP","1201 South Highway 99, McDavid, FL 32568, USA"
"139","2055 Homer Holland Rd. Milton,32570 Florida","30.83209","-87.114407","ROOFTOP","2055 Homer Holland Road, Milton, FL 32570, USA"
"140","3389 NW 20th Ave Florida",NA,NA,NA,NA
"141","131 Ehler Rd. Monticello, 32344 FL Florida","30.578403","-83.87544","ROOFTOP","131 Ehler Road, Monticello, FL 32344, USA"
"142","704 Barnes Rd. Monticello,32344 Florida","30.6009279","-83.8625966","ROOFTOP","704 Barnes, Monticello, FL 32344, USA"
"143","PO Box 427 Lloyd,32337 Florida","30.4780359","-84.022695","APPROXIMATE","Lloyd, FL 32337, USA"
"144","P.O. Box 1376 Ruskin, FL Florida","27.7208633","-82.4331495","APPROXIMATE","Ruskin, FL, USA"
"145","4160 Old Burnt Store Rd. Cape Coral, FL Florida","26.736396","-82.0561139","ROOFTOP","4160 Old Burnt Store Road North, Cape Coral, FL 33993, USA"
"146","9001 Palomino Oaks Dr. Fort Myers, FL Florida","26.565222","-81.805579","ROOFTOP","9001 Palomino Oaks Drive, Fort Myers, FL 33912, USA"
"147","3701 E. Trapwell Rd. Plant City, FL Florida","27.965603","-82.0577409","ROOFTOP","3701 East Trapnell Road, Plant City, FL 33566, USA"
"148","Plant City, FL Florida","28.0186323","-82.1128641","APPROXIMATE","Plant City, FL, USA"
"149","1555 North Kings Hwy. Ft. Pierce Florida","27.463922","-80.401226","ROOFTOP","1555 North Kings Highway, Fort Pierce, FL 34947, USA"
"150","2370 Southwest Moseley hall Road, Madison Florida, 32340 Florida","30.356567","-83.543117","ROOFTOP","2370 Southwest Moseley Hall Road, Madison, FL 32340, USA"
"151","207 SW Debary Way Florida","28.8745075","-81.2709886","RANGE_INTERPOLATED","207 Debary Avenue, Deltona, FL 32725, USA"
"152","207 SW Debary Way Florida","28.8745075","-81.2709886","RANGE_INTERPOLATED","207 Debary Avenue, Deltona, FL 32725, USA"
"153","520 SE Midway Church Rd Florida","30.345402","-83.335638","ROOFTOP","520 Southeast Midway Church Road, Lee, FL 32059, USA"
"154","21665 SE 177th Ave  Florida","29.492105","-82.090984","ROOFTOP","21665 Southeast 177th Avenue, Hawthorne, FL 32640, USA"
"155","5311 NE 255 Drive Florida","29.704146","-82.052454","ROOFTOP","5311 Northeast 255th Drive, Melrose, FL 32666, USA"
"156","5253 Hood Rd  Florida","26.8648364","-80.1168875","RANGE_INTERPOLATED","5253 Hood Road, Palm Beach Gardens, FL 33418, USA"
"157","Yee Farms, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"158","20421 Sw 207 Ave ,Miami Florida","25.5754455","-80.5269998","RANGE_INTERPOLATED","20421 Southwest 207th Avenue, Miami, FL 33187, USA"
"159","27320 County Rd. 835, Clewiston Florida","26.453064","-80.971733","ROOFTOP","27320 County Road 835, Clewiston, FL 33440, USA"
"160","1018 Oleander East, Lakeland,33801 Florida","28.047034","-81.94413","ROOFTOP","1018 East Oleander Street, Lakeland, FL 33801, USA"
"161","10747 W Midway Road Fort Pierce,34945 Florida","27.3743739","-80.4275715","RANGE_INTERPOLATED","10747 West Midway Road, Fort Pierce, FL 34945, USA"
"162"," 1900 Old Dixie Hwy, Fort Pierce,34946 Florida","27.469119","-80.330699","ROOFTOP","1900 Old Dixie Highway, Fort Pierce, FL 34946, USA"
"163","3500 Enterprise Rd, Fort Pierce,34982 Florida","27.397433","-80.337387","ROOFTOP","3500 Enterprise Road, Fort Pierce, FL 34982, USA"
"164","Melva Morfaw, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"165","231 Browns Hammock Rd Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"166","108 Paradise Circle Florida","29.487026","-81.542507","ROOFTOP","108 Paradise Circle, Crescent City, FL 32112, USA"
"167","P.O. Box 562 Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"168","7750 County Road Florida",NA,NA,NA,NA
"169","1836 South Hwy 17 Florida","29.493071","-81.585611","ROOFTOP","1836 South Highway 17, Pomona Park, FL 32181, USA"
"170","1704 Main St, Hawthorne Florida","29.634536","-81.954549","ROOFTOP","1704 Main Street, Hawthorne, FL 32640, USA"
"171","5195 S Mc Alpin Rd, McAlpin Florida","30.128255","-82.852315","ROOFTOP","5195 South Mc Alpin Road, McAlpin, FL 32062, USA"
"172","4555 Low Lake Rd, Wellborn Florida","30.224146","-82.842569","ROOFTOP","4555 Low Lake Road, Wellborn, FL 32094, USA"
"173","7010 Ricker Rd, Jacksonville Florida","30.222888","-81.775063","ROOFTOP","7010 Ricker Road, Jacksonville, FL 32244, USA"
"174","14959 Thomas Mills Rd, Jacksonville Florida","30.2817599","-81.5779492","GEOMETRIC_CENTER","Mills Road, Jacksonville, FL 32216, USA"
"175","Qunicy, Fl Florida","30.5871392","-84.5832453","APPROXIMATE","Quincy, FL, USA"
"176","8100 Barnes Farm Rd. Hastings, FL Florida","29.723915","-81.474304","ROOFTOP","8100 Barnes Farm Road, Hastings, FL 32145, USA"
"177","321 San Mateo Rd Florida","29.588753","-81.583269","ROOFTOP","321 San Mateo Road, San Mateo, FL 32187, USA"
"178","5995 Brough Rd Florida","29.7795322","-81.4423912","RANGE_INTERPOLATED","5995 Brough Road, Elkton, FL 32033, USA"
"179","1670 Borrow Pitt Rd. Florida",NA,NA,NA,NA
"180","2153 South US Hwy. 1, Rockledge,32955 Florida","28.3145502","-80.7118296","ROOFTOP","2153 U.S. 1, Rockledge, FL 32955, USA"
"181","5995 St. Ambrose Church Rd Florida","29.783228","-81.483406","ROOFTOP","5995 Saint Ambrose Church Road, Elkton, FL 32033, USA"
"182","14095 US 441, Delray Beach,33446 Florida","26.4690504","-80.2047885","ROOFTOP","14095 U.S. 441, Delray Beach, FL 33446, USA"
"183","13646 US Hwy. 441, Canal Point,  33438 Florida","26.8788804","-80.6196713","ROOFTOP","13646 U.S. 441, Canal Point, FL 33438, USA"
"184","4295 Seville Ave., Cocoa,32926 Florida","28.419158","-80.812031","ROOFTOP","4295 Seville Avenue, Cocoa, FL 32926, USA"
"185","1278 S. Hwy. US 1, Oak Hill,32759 Florida","28.812393","-80.869451","ROOFTOP","1278 South Us Highway 1, Oak Hill, FL 32759, USA"
"186","12931 Orange River Blvd.  Fort Myers, FL Florida","26.6758809","-81.7459845","ROOFTOP","12931 Orange River Boulevard, Fort Myers, FL 33905, USA"
"187","4020 Gallagher Rd. Dover, FL Florida","28.011982","-82.236735","ROOFTOP","4020 Gallagher Road, Dover, FL 33527, USA"
"188","100 Madison Ave. E. Immokalee, FL Florida","26.427593","-81.41457","ROOFTOP","100 Madison Avenue East, Immokalee, FL 34142, USA"
"189","204 E Terrace Dr. Plant City, FL Florida","28.041217","-82.125914","ROOFTOP","204 East Terrace Drive, Plant City, FL 33563, USA"
"190","203 Oak St. Immokaleem Florida","26.421038","-81.415411","ROOFTOP","203 Oak Street, Immokalee, FL 34142, USA"
"191","505 7th Street W. Palmetto, FL Florida","27.51716","-82.569139","ROOFTOP","505 7th Street West, Palmetto, FL 34221, USA"
"192","PO Box 1003  monticello, 32344 Florida","30.5452022","-83.8701636","APPROXIMATE","Monticello, FL 32344, USA"
"193","804 Frank Smith Road Quincy, 32352 Florida","30.676513","-84.467756","ROOFTOP","804 Frank Smith Road, Quincy, FL 32352, USA"
"194","680 W Halpin Rd Monticello,32344 Florida","30.5452022","-83.8701636","APPROXIMATE","Monticello, FL 32344, USA"
"195","PO Box 265 Quincy,32353 Florida","30.5743367","-84.5929615","APPROXIMATE","Quincy, FL 32353, USA"
"196","PO Box772 Havana, 32333 Florida","30.6238069","-84.414629","APPROXIMATE","Havana, FL 32333, USA"
"197","PO Box 214 Lloyd,32337 Florida","30.4780359","-84.022695","APPROXIMATE","Lloyd, FL 32337, USA"
"198","2001 N. Kings Hwy., Ft. Pierce FL Florida","27.470374","-80.399773","ROOFTOP","2001 North Kings Highway, Fort Pierce, FL 34951, USA"
"199","12416 91st ST, Fellsmere, FL Florida","27.761764","-80.581129","ROOFTOP","12416 91st Street, Fellsmere, FL 32948, USA"
"200","D and D Farms, Florida","31.7341379","-106.395593","GEOMETRIC_CENTER","Florida, Ciudad Juarez, Chihuahua, Mexico"
"201","5407 Nash Trail, Lake Worth, FL Florida","26.593386","-80.129495","ROOFTOP","5407 Nash Trail, Lake Worth, FL 33463, USA"
"202","16318 E. Edinburgh Dr., Loxahatchee,33470 Florida","26.728045","-80.3059789","ROOFTOP","16318 Edinburgh Drive East, Loxahatchee, FL 33470, USA"
"203","16318 E. Edinburgh Dr., Loxahatchee, Florida","26.728045","-80.3059789","ROOFTOP","16318 Edinburgh Drive East, Loxahatchee, FL 33470, USA"
"204","232 NW Avenue L, Belle Glade,33430 Florida","26.6903932","-80.6709048","RANGE_INTERPOLATED","232 NW Ave East, Belle Glade, FL 33430, USA"
"205","1425 Terry Lane Florida","28.267007","-81.312284","ROOFTOP","1425 Terry Lane, Kissimmee, FL 34744, USA"
